Persona Name,Last delivered date (impr>0),Overall impressions till date,Key Value(s) (Persona ID),Days since last delivered,Status / Note,Recommendation
Test Engineer,,,,,No mapping in Key Values tab,Review - no key value mapped
Global Knowledge Audience,2026-06-02,2781316,2996,1,Active,Keep - active
Adjacent Interest Audiences,,0,2995,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
"Younger, Discovery-Driven Audiences",2026-06-02,868130,2994,1,Active,Keep - active
Cultural Mass,2026-06-02,1212820,2992,1,Active,Keep - active
Global News Consumer,,,,,No mapping in Key Values tab,Review - no key value mapped
Driven Competitor,,,,,No mapping in Key Values tab,Review - no key value mapped
Value-Driven Researcher,,,,,No mapping in Key Values tab,Review - no key value mapped
Luxury Leisure Traveler,,,,,No mapping in Key Values tab,Review - no key value mapped
Executive Traveler,,,,,No mapping in Key Values tab,Review - no key value mapped
Budget Traveler,,,,,No mapping in Key Values tab,Review - no key value mapped
Mature Man,,,,,No mapping in Key Values tab,Review - no key value mapped
Food and Wine Enthusiast,,,,,No mapping in Key Values tab,Review - no key value mapped
Small Business Creator,,,,,No mapping in Key Values tab,Review - no key value mapped
Luxury Fashion Enthusiast,,,,,No mapping in Key Values tab,Review - no key value mapped
Finance Executive,,,,,No mapping in Key Values tab,Review - no key value mapped
Lifelong Learner,,,,,No mapping in Key Values tab,Review - no key value mapped
Modern Professional,,,,,No mapping in Key Values tab,Review - no key value mapped
Spirits Enthusiast,,,,,No mapping in Key Values tab,Review - no key value mapped
Cultural Explorer,,,,,No mapping in Key Values tab,Review - no key value mapped
Investor,,,,,No mapping in Key Values tab,Review - no key value mapped
Engaged Patient,,,,,No mapping in Key Values tab,Review - no key value mapped
Healthcare Professional,,,,,No mapping in Key Values tab,Review - no key value mapped
Policy Influencer,,,,,No mapping in Key Values tab,Review - no key value mapped
Health Professional,,,,,No mapping in Key Values tab,Review - no key value mapped
Healthy Business Dad,,,,,No mapping in Key Values tab,Review - no key value mapped
Seoul Traveler,,,,,No mapping in Key Values tab,Review - no key value mapped
K-Travel Enthusiast,,,,,No mapping in Key Values tab,Review - no key value mapped
American Dreamer,,,,,No mapping in Key Values tab,Review - no key value mapped
Sports Traveler,,,,,No mapping in Key Values tab,Review - no key value mapped
C-Suite Innovator,,,,,No mapping in Key Values tab,Review - no key value mapped
Government Decision Maker,,,,,No mapping in Key Values tab,Review - no key value mapped
Professional Service Provider,,,,,No mapping in Key Values tab,Review - no key value mapped
Freedom Seeker,,,,,No mapping in Key Values tab,Review - no key value mapped
Cancer Patient Advocate,,,,,No mapping in Key Values tab,Review - no key value mapped
Innovation Executive,2026-06-02,136520789,1207,1,Active,Keep - active
AMC+ Cultural Observer,,,,,No mapping in Key Values tab,Review - no key value mapped
C-Suite Innovator,,,,,No mapping in Key Values tab,Review - no key value mapped
Social Advocate,,,,,No mapping in Key Values tab,Review - no key value mapped
Equality Advocate,,,,,No mapping in Key Values tab,Review - no key value mapped
Science Enthusiast,,,,,No mapping in Key Values tab,Review - no key value mapped
Cultural Enthusiast,,,,,No mapping in Key Values tab,Review - no key value mapped
Family Protector,,,,,No mapping in Key Values tab,Review - no key value mapped
Food Industry Decision Maker,,,,,No mapping in Key Values tab,Review - no key value mapped
Girl Scout Parent,,,,,No mapping in Key Values tab,Review - no key value mapped
Retirement Planner,,,,,No mapping in Key Values tab,Review - no key value mapped
Wealthy Retiree,,,,,No mapping in Key Values tab,Review - no key value mapped
Adventure Traveler,2026-06-02,1746229,1742,1,Active,Keep - active
Sustainability Executive,2026-06-02,1094546,1696,1,Active,Keep - active
Home Improvement Enthusiast,,0,1693,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Proud Homeowner,,0,1691,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Relational Loyalists,2026-06-02,10206520,1681,1,Active,Keep - active
Selective Seekers,2026-06-02,12130175,1680,1,Active,Keep - active
Efficient Economist,2026-06-02,9279708,1678,1,Active,Keep - active
Tech-Enhanced Experiencers,2026-06-02,45624428,1677,1,Active,Keep - active
Asset Managers & Owners,2026-06-02,4425180,1672,1,Active,Keep - active
Tech and Healthcare Founder,2026-06-02,23110450,1671,1,Active,Keep - active
Wealthy Investor,2026-06-02,4334164,"1670, 1027",1,Active,Keep - active
Corporate Decision Maker (Morgan Stanley),2026-06-02,2846653,1669,1,Active,Keep - active
Affluent Investor,2026-06-02,25105048,"1645, 929",1,Active,Keep - active
Golfing Dad,2026-06-02,2618331,1625,1,Active,Keep - active
Home Chef,,0,"1624, 1623",,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Home Chef,,0,"1624, 1623",,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Homeowner DIYer,,0,1622,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Heart Health Advocate,,0,1599,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Cardiology Advocate,,0,1598,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
AI Developer,2026-06-02,26844148,1565,1,Active,Keep - active
Security Executives,,0,1551,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Strategic Business Analyst,2026-06-02,1401456,1550,1,Active,Keep - active
Marketing Professional,2026-06-02,2804693,1548,1,Active,Keep - active
