Persona Name,Key Value(s) (Persona ID),Last date used,Overall impressions till date,Reason to remove
Adjacent Interest Audiences,2995,,0,Has a key value but never delivered any impressions
Home Improvement Enthusiast,1693,,0,Has a key value but never delivered any impressions
Proud Homeowner,1691,,0,Has a key value but never delivered any impressions
Home Chef,"1624, 1623",,0,Has a key value but never delivered any impressions
Home Chef,"1624, 1623",,0,Has a key value but never delivered any impressions
Homeowner DIYer,1622,,0,Has a key value but never delivered any impressions
Heart Health Advocate,1599,,0,Has a key value but never delivered any impressions
Cardiology Advocate,1598,,0,Has a key value but never delivered any impressions
Security Executives,1551,,0,Has a key value but never delivered any impressions
iWorkers,1545,,0,Has a key value but never delivered any impressions
Anniversary Seeker,1513,,0,Has a key value but never delivered any impressions
Collectors,1512,,0,Has a key value but never delivered any impressions
Pro-America Believers,1511,,0,Has a key value but never delivered any impressions
Small Business Tax Advisor,1483,,0,Has a key value but never delivered any impressions
Chronic Condition Sufferer,1472,,0,Has a key value but never delivered any impressions
Caregiver,1469,,0,Has a key value but never delivered any impressions
Health-Conscious Viewer,1314,,0,Has a key value but never delivered any impressions
Budget Fashionista,1159,,0,Has a key value but never delivered any impressions
Higher Education Leader,1108,,0,Has a key value but never delivered any impressions
Gadget Enthusiast,1080,,0,Has a key value but never delivered any impressions
Financial Analyst,1026,,0,Has a key value but never delivered any impressions
Food Enthusiast,905,,0,Has a key value but never delivered any impressions
Health Conscious Adult,838,,0,Has a key value but never delivered any impressions
Tax-Savvy Entrepreneur,634,,0,Has a key value but never delivered any impressions
Political Enthusiast,460,,0,Has a key value but never delivered any impressions
Star Wars Ice Cream Enthusiast,387,,0,Has a key value but never delivered any impressions
Horror and Pickle Enthusiast,326,,0,Has a key value but never delivered any impressions
On-the-Go Consumer,228,,0,Has a key value but never delivered any impressions
Test Engineer,,,,Not present in the Key Values tab - no key value found
Global News Consumer,,,,Not present in the Key Values tab - no key value found
Driven Competitor,,,,Not present in the Key Values tab - no key value found
Value-Driven Researcher,,,,Not present in the Key Values tab - no key value found
Luxury Leisure Traveler,,,,Not present in the Key Values tab - no key value found
Executive Traveler,,,,Not present in the Key Values tab - no key value found
Budget Traveler,,,,Not present in the Key Values tab - no key value found
Mature Man,,,,Not present in the Key Values tab - no key value found
Food and Wine Enthusiast,,,,Not present in the Key Values tab - no key value found
Small Business Creator,,,,Not present in the Key Values tab - no key value found
Luxury Fashion Enthusiast,,,,Not present in the Key Values tab - no key value found
Finance Executive,,,,Not present in the Key Values tab - no key value found
Lifelong Learner,,,,Not present in the Key Values tab - no key value found
Modern Professional,,,,Not present in the Key Values tab - no key value found
Spirits Enthusiast,,,,Not present in the Key Values tab - no key value found
Cultural Explorer,,,,Not present in the Key Values tab - no key value found
Investor,,,,Not present in the Key Values tab - no key value found
Engaged Patient,,,,Not present in the Key Values tab - no key value found
Healthcare Professional,,,,Not present in the Key Values tab - no key value found
Policy Influencer,,,,Not present in the Key Values tab - no key value found
Health Professional,,,,Not present in the Key Values tab - no key value found
Healthy Business Dad,,,,Not present in the Key Values tab - no key value found
Seoul Traveler,,,,Not present in the Key Values tab - no key value found
K-Travel Enthusiast,,,,Not present in the Key Values tab - no key value found
American Dreamer,,,,Not present in the Key Values tab - no key value found
Sports Traveler,,,,Not present in the Key Values tab - no key value found
C-Suite Innovator,,,,Not present in the Key Values tab - no key value found
Government Decision Maker,,,,Not present in the Key Values tab - no key value found
Professional Service Provider,,,,Not present in the Key Values tab - no key value found
Freedom Seeker,,,,Not present in the Key Values tab - no key value found
Cancer Patient Advocate,,,,Not present in the Key Values tab - no key value found
AMC+ Cultural Observer,,,,Not present in the Key Values tab - no key value found
C-Suite Innovator,,,,Not present in the Key Values tab - no key value found
Social Advocate,,,,Not present in the Key Values tab - no key value found
Equality Advocate,,,,Not present in the Key Values tab - no key value found
Science Enthusiast,,,,Not present in the Key Values tab - no key value found
Cultural Enthusiast,,,,Not present in the Key Values tab - no key value found
Family Protector,,,,Not present in the Key Values tab - no key value found
Food Industry Decision Maker,,,,Not present in the Key Values tab - no key value found
Girl Scout Parent,,,,Not present in the Key Values tab - no key value found
Retirement Planner,,,,Not present in the Key Values tab - no key value found
Wealthy Retiree,,,,Not present in the Key Values tab - no key value found
